Anno,Paese,Codice Paese,BiocapPerCap,EFConsPerCap,Numero di Terre consumate,Overshoot Date,Quanti Territori,BiocapTotGHA,EFConsTotGHA,Biocap Built-up Land,Biocap Carbon,Biocap Cropland,Biocap Fishing Grounds,Biocap Forest Products,Biocap Grazing Land,EF Built-up Land,EF Carbon,EF Cropland,EF Fishing Grounds,EF Forest Products,EF Grazing Land,Indice di sviluppo umano (HDI),Popolazione,Prodotto interno lordo (PIL),Punteggio qualità dei dati
2004,Mondo,5001,1.734,2.848,1.642,2004-08-10,1.63,11452935872.58,18695411419.83,340860581.42,0.00,2992173031.97,1067197137.58,5504279545.15,1548425576.45,340860581.42,11726561996.49,2992173031.97,640746645.39,1935890270.88,1059178893.69,0.68,6519690279.01,N/D,PROIEZIONE
2005,Europa,2002,3.195,5.555,3.228,2005-04-23,1.74,2095707820.92,3643188874.99,81027051.24,0.00,514245935.48,285474590.22,1071981727.63,142978516.35,81027051.24,2249246880.48,618736113.09,134816785.03,399919031.17,159443013.97,0.83,N/D,N/D,
2005,Europa,2002,3.160,5.357,3.113,2005-04-27,1.70,2087273902.07,3542006618.88,85829031.96,0.00,502962749.51,283287913.05,1073668232.42,141525975.14,85829031.96,2212613917.74,582349308.82,127510299.14,370406922.75,163297138.46,0.85,N/D,N/D,PROIEZIONE
2005,Mondo,5001,1.733,2.672,1.553,2005-08-23,1.54,11366484375.82,17522029236.39,331731061.63,0.00,2844014291.69,1074276785.32,5535447561.92,1581014675.26,331731061.63,10566970323.72,2844014291.69,658790308.61,2056840029.57,1063683221.16,0.67,6558179840.00,7296.40,3A
2005,Mondo,5001,1.721,2.836,1.648,2005-08-09,1.64,11484367001.71,18827412321.10,350538214.23,0.00,3029258723.11,1067577245.75,5490727320.24,1546265498.37,350538214.23,11796355596.27,3029258723.11,643242587.24,1951172021.98,1056845178.27,0.68,6601191843.35,N/D,PROIEZIONE
2006,Europa,2002,3.173,5.578,3.266,2006-04-22,1.76,2085066533.68,3665046328.33,77253189.99,0.00,504453706.61,285246090.38,1075815458.14,142298088.56,77253189.99,2280034588.92,614975989.10,136222878.49,390599273.07,165960408.76,0.84,N/D,N/D,
2006,Europa,2002,3.161,5.317,3.113,2006-04-27,1.68,2091060101.03,3520535466.59,86094569.50,0.00,507709349.81,283309515.01,1072748270.07,141198396.65,86094569.50,2187926742.07,584471734.13,127121114.63,373343682.20,161577624.05,0.85,N/D,N/D,PROIEZIONE
2006,Mondo,5001,1.717,2.683,1.571,2006-08-20,1.56,11402770482.65,17817225118.87,337148416.25,0.00,2889346214.80,1072314884.86,5528002736.76,1575958229.99,337148416.25,10834297137.43,2889346214.80,663219557.49,2023442911.00,1069770881.91,0.68,6641419776.00,7803.61,3A
2006,Mondo,5001,1.708,2.824,1.653,2006-08-09,1.65,11515798130.85,18959413222.37,360215847.03,0.00,3066344414.25,1067957353.92,5477175095.33,1544105420.30,360215847.03,11866149196.06,3066344414.25,645738529.10,1966453773.08,1054511462.85,0.69,6682693407.70,N/D,PROIEZIONE
2007,Europa,2002,3.180,5.700,3.363,2007-04-19,1.79,2095368338.22,3755194725.20,78674472.29,0.00,514023969.53,284847318.24,1076180395.06,141642183.09,78674472.29,2322916992.00,622839251.70,137925921.51,428650338.69,164187749.01,0.85,N/D,N/D,
2007,Europa,2002,3.162,5.278,3.114,2007-04-27,1.67,2094846299.99,3499064314.30,86360107.04,0.00,512455950.11,283331116.96,1071828307.73,140870818.15,86360107.04,2163239566.40,586594159.45,126731930.13,376280441.64,159858109.64,0.85,N/D,N/D,PROIEZIONE
2007,Mondo,5001,1.700,2.756,1.626,2007-08-12,1.62,11433574973.70,18539603192.84,348386923.98,0.00,2932988454.54,1070794075.44,5513878674.71,1567526845.04,348386923.98,11489786569.14,2932988454.54,655612286.41,2044413922.00,1068415036.77,0.69,6725949952.00,8697.34,3A
